data,pedido_id,categoria,produto,regiao,canal,quantidade,preco_unitario,receita
2024-01-26,10109,Eletrônicos,Smartwatch,Centro-Oeste,Loja Física,2,899.0,1798.0
2024-01-26,10110,Eletrônicos,Notebook,Sudeste,Site,3,3999.0,11997.0
2024-01-26,10111,Informática,Mouse Gamer,Nordeste,Loja Física,3,151.05,453.15
2024-01-26,10112,Moda,Mochila,Sudeste,Site,3,161.1,483.3
2024-01-26,10113,Eletrônicos,Fone Bluetooth,Sul,App,1,249.0,249.0
2024-01-26,10114,Esporte,Esteira,Centro-Oeste,App,1,2799.0,2799.0
2024-01-27,10115,Moda,Mochila,Centro-Oeste,Site,2,179.0,358.0
2024-01-27,10116,Informática,"Monitor 24""",Nordeste,Loja Física,1,999.0,999.0
2024-01-27,10117,Casa,Liquidificador,Sudeste,App,2,199.0,398.0
2024-01-27,10118,Informática,Mouse Gamer,Sul,Site,3,151.05,453.15
2024-01-28,10119,Informática,Mouse Gamer,Nordeste,Site,2,159.0,318.0
2024-01-28,10120,Eletrônicos,Notebook,Nordeste,App,2,3399.15,6798.3
2024-01-28,10121,Esporte,Halteres 10kg,Sudeste,Loja Física,2,189.0,378.0
2024-01-28,10122,Esporte,Halteres 10kg,Sul,App,2,179.55,359.1
2024-01-29,10123,Informática,SSD 1TB,Nordeste,App,1,429.0,429.0
2024-01-29,10124,Informática,"Monitor 24""",Norte,App,2,999.0,1998.0
2024-01-29,10125,Informática,SSD 1TB,Sudeste,App,3,407.55,1222.65
2024-01-30,10126,Esporte,Bicicleta,Sudeste,Site,1,1359.15,1359.15
2024-01-30,10127,Eletrônicos,Smartphone,Sul,Site,2,1899.0,3798.0
2024-01-30,10128,Eletrônicos,Smartphone,Sudeste,Site,1,1899.0,1899.0
2024-01-30,10129,Esporte,Esteira,Sudeste,Site,2,2799.0,5598.0
2024-02-01,10130,Informática,Mouse Gamer,Sudeste,Site,2,159.0,318.0
2024-02-01,10131,Casa,Liquidificador,Sudeste,Site,2,199.0,398.0
2024-02-02,10132,Esporte,Halteres 10kg,Sudeste,Site,2,179.55,359.1
2024-02-02,10133,Informática,Mouse Gamer,Sudeste,Site,1,159.0,159.0
2024-02-02,10134,Esporte,Bicicleta,Sudeste,App,1,1519.05,1519.05
2024-02-02,10135,Informática,"Monitor 24""",Centro-Oeste,App,3,999.0,2997.0
2024-02-02,10136,Esporte,Halteres 10kg,Centro-Oeste,Site,1,179.55,179.55
2024-02-03,10137,Informática,Mouse Gamer,Sudeste,Site,2,159.0,318.0
2024-02-03,10138,Casa,Aspirador Robô,Sudeste,App,2,1299.0,2598.0
2024-02-03,10139,Esporte,Esteira,Centro-Oeste,App,1,2799.0,2799.0
2024-02-03,10140,Moda,Tênis Esportivo,Nordeste,Site,1,399.0,399.0
2024-02-03,10141,Moda,Mochila,Sudeste,Loja Física,1,179.0,179.0
2024-02-03,10142,Esporte,Esteira,Centro-Oeste,Loja Física,2,2799.0,5598.0
2024-02-03,10143,Casa,Aspirador Robô,Sudeste,App,1,1299.0,1299.0
2024-02-03,10144,Moda,Tênis Esportivo,Centro-Oeste,Site,1,379.05,379.05
2024-02-04,10145,Casa,Cafeteira,Sul,App,3,274.55,823.65
2024-02-04,10146,Moda,Mochila,Sul,Site,3,179.0,537.0
2024-02-04,10147,Eletrônicos,Smartwatch,Sudeste,Loja Física,2,899.0,1798.0
2024-02-04,10148,Casa,Aspirador Robô,Sudeste,Loja Física,2,1234.05,2468.1
2024-02-04,10149,Informática,Mouse Gamer,Centro-Oeste,Site,3,143.1,429.3
2024-02-05,10150,Eletrônicos,Notebook,Centro-Oeste,App,1,3599.1,3599.1
2024-02-05,10151,Casa,Air Fryer,Sudeste,Loja Física,1,436.05,436.05
2024-02-05,10152,Informática,SSD 1TB,Centro-Oeste,Site,2,407.55,815.1
2024-02-05,10153,Moda,Jaqueta,Sudeste,App,2,259.0,518.0
2024-02-05,10154,Moda,Mochila,Sudeste,Site,3,179.0,537.0
2024-02-05,10155,Informática,Teclado Mecânico,Nordeste,Site,3,349.0,1047.0
2024-02-05,10156,Eletrônicos,Smartphone,Sudeste,App,3,1899.0,5697.0
2024-02-05,10157,Casa,Liquidificador,Sudeste,App,2,199.0,398.0
2024-02-06,10158,Informática,Mouse Gamer,Nordeste,App,2,135.15,270.3
2024-02-06,10159,Esporte,Bicicleta,Nordeste,Loja Física,1,1599.0,1599.0
2024-02-07,10160,Informática,SSD 1TB,Sudeste,Loja Física,1,429.0,429.0
2024-02-07,10161,Moda,Mochila,Sudeste,Site,2,179.0,358.0
2024-02-07,10162,Casa,Air Fryer,Nordeste,Site,3,459.0,1377.0
2024-02-07,10163,Esporte,Halteres 10kg,Nordeste,Site,3,179.55,538.65
2024-02-07,10164,Casa,Aspirador Robô,Centro-Oeste,Site,3,1299.0,3897.0
2024-02-08,10165,Eletrônicos,Notebook,Centro-Oeste,Loja Física,1,3799.05,3799.05
2024-02-08,10166,Informática,"Monitor 24""",Sudeste,Site,2,999.0,1998.0
2024-02-08,10167,Informática,Mouse Gamer,Nordeste,App,1,143.1,143.1
2024-02-09,10168,Esporte,Halteres 10kg,Sul,Loja Física,1,160.65,160.65
2024-02-09,10169,Eletrônicos,Smartphone,Sudeste,Site,2,1899.0,3798.0
2024-02-09,10170,Casa,Cafeteira,Sudeste,App,1,260.1,260.1
2024-02-09,10171,Eletrônicos,Notebook,Sudeste,Loja Física,3,3999.0,11997.0
2024-02-10,10172,Casa,Aspirador Robô,Nordeste,App,1,1299.0,1299.0
2024-02-10,10173,Eletrônicos,Smartwatch,Norte,Site,2,899.0,1798.0
2024-02-10,10174,Moda,Jaqueta,Norte,Site,2,259.0,518.0
2024-02-10,10175,Esporte,Bicicleta,Sudeste,App,2,1599.0,3198.0
2024-02-10,10176,Casa,Cafeteira,Sudeste,App,2,260.1,520.2
2024-02-11,10177,Eletrônicos,Fone Bluetooth,Sul,Loja Física,3,249.0,747.0
2024-02-11,10178,Esporte,Esteira,Sul,App,3,2379.15,7137.45
2024-02-11,10179,Eletrônicos,Notebook,Nordeste,Site,2,3999.0,7998.0
2024-02-11,10180,Esporte,Tapete Yoga,Sul,Loja Física,2,94.05,188.1
2024-02-11,10181,Informática,Teclado Mecânico,Sudeste,Site,1,349.0,349.0
2024-02-11,10182,Moda,Jaqueta,Nordeste,App,1,259.0,259.0
2024-02-12,10183,Esporte,Halteres 10kg,Centro-Oeste,Site,3,179.55,538.65
2024-02-13,10184,Eletrônicos,Notebook,Centro-Oeste,Site,1,3799.05,3799.05
2024-02-13,10185,Esporte,Esteira,Nordeste,Site,2,2379.15,4758.3
2024-02-13,10186,Moda,Jaqueta,Norte,Site,2,259.0,518.0
2024-02-14,10187,Casa,Cafeteira,Sul,Loja Física,3,274.55,823.65
2024-02-15,10188,Esporte,Tapete Yoga,Norte,Loja Física,1,89.1,89.1
2024-02-15,10189,Esporte,Tapete Yoga,Nordeste,App,1,94.05,94.05
2024-02-15,10190,Moda,Mochila,Nordeste,Site,2,179.0,358.0
2024-02-15,10191,Informática,Teclado Mecânico,Sudeste,Loja Física,2,349.0,698.0
2024-02-15,10192,Casa,Cafeteira,Sudeste,Site,3,289.0,867.0
2024-02-16,10193,Eletrônicos,Notebook,Sudeste,Site,2,3999.0,7998.0
2024-02-16,10194,Esporte,Halteres 10kg,Norte,Site,2,170.1,340.2
2024-02-16,10195,Esporte,Bicicleta,Centro-Oeste,App,2,1599.0,3198.0
2024-02-16,10196,Moda,Jaqueta,Sudeste,Site,1,233.1,233.1
2024-02-17,10197,Moda,Mochila,Sul,Site,1,179.0,179.0
2024-02-17,10198,Esporte,Bicicleta,Sudeste,App,1,1519.05,1519.05
2024-02-17,10199,Moda,Relógio,Sudeste,App,3,329.0,987.0
2024-02-17,10200,Esporte,Esteira,Centro-Oeste,Site,3,2799.0,8397.0
2024-02-17,10201,Casa,Liquidificador,Sul,Site,3,199.0,597.0
2024-02-17,10202,Eletrônicos,Fone Bluetooth,Sul,App,1,249.0,249.0
2024-02-17,10203,Eletrônicos,Smartphone,Sudeste,Site,2,1709.1,3418.2
2024-02-18,10204,Moda,Mochila,Nordeste,App,3,179.0,537.0
2024-02-18,10205,Casa,Liquidificador,Sudeste,Site,3,199.0,597.0
2024-02-18,10206,Casa,Aspirador Robô,Sudeste,Site,3,1299.0,3897.0
2024-02-18,10207,Eletrônicos,Smartphone,Norte,Site,1,1899.0,1899.0
2024-02-18,10208,Esporte,Tapete Yoga,Sudeste,Loja Física,2,99.0,198.0
2024-02-19,10209,Informática,"Monitor 24""",Centro-Oeste,App,1,999.0,999.0
2024-02-19,10210,Casa,Cafeteira,Nordeste,App,1,289.0,289.0
2024-02-19,10211,Moda,Jaqueta,Centro-Oeste,App,1,246.05,246.05
2024-02-19,10212,Casa,Air Fryer,Sul,Site,2,459.0,918.0
2024-02-19,10213,Casa,Aspirador Robô,Sudeste,Site,2,1299.0,2598.0
2024-02-20,10214,Moda,Jaqueta,Sudeste,App,1,259.0,259.0
2024-02-20,10215,Eletrônicos,Smartphone,Sul,Site,3,1899.0,5697.0
2024-02-20,10216,Eletrônicos,Smartphone,Sudeste,Site,1,1709.1,1709.1
2024-02-20,10217,Informática,Mouse Gamer,Nordeste,Site,2,159.0,318.0
2024-02-20,10218,Informática,SSD 1TB,Sudeste,Site,3,386.1,1158.3
2024-02-20,10219,Eletrônicos,Smartphone,Centro-Oeste,App,2,1899.0,3798.0
2024-02-20,10220,Moda,Tênis Esportivo,Norte,Site,3,399.0,1197.0
2024-02-21,10221,Esporte,Tapete Yoga,Norte,Site,1,99.0,99.0
2024-02-21,10222,Casa,Liquidificador,Sudeste,Site,2,199.0,398.0
2024-02-21,10223,Informática,Mouse Gamer,Sul,Site,3,143.1,429.3
2024-02-21,10224,Eletrônicos,Fone Bluetooth,Nordeste,Loja Física,2,249.0,498.0
2024-02-21,10225,Esporte,Tapete Yoga,Sul,App,3,99.0,297.0
2024-02-22,10226,Informática,"Monitor 24""",Nordeste,Site,1,999.0,999.0
2024-02-22,10227,Esporte,Bicicleta,Sudeste,Loja Física,3,1519.05,4557.15
2024-02-22,10228,Casa,Liquidificador,Nordeste,Site,3,199.0,597.0
2024-02-22,10229,Moda,Relógio,Sul,Site,3,296.1,888.3
2024-02-22,10230,Informática,"Monitor 24""",Sul,Site,1,949.05,949.05
2024-02-23,10231,Casa,Liquidificador,Sudeste,App,3,179.1,537.3
2024-02-23,10232,Informática,Mouse Gamer,Nordeste,App,1,159.0,159.0
2024-02-23,10233,Informática,"Monitor 24""",Centro-Oeste,Site,1,849.15,849.15
2024-02-23,10234,Esporte,Tapete Yoga,Sudeste,Site,2,89.1,178.2
2024-02-24,10235,Eletrônicos,Smartphone,Sudeste,Site,3,1709.1,5127.3
2024-02-24,10236,Moda,Mochila,Sul,App,3,179.0,537.0
2024-02-24,10237,Casa,Aspirador Robô,Sudeste,App,2,1234.05,2468.1
2024-02-24,10238,Eletrônicos,Smartphone,Sul,Site,1,1899.0,1899.0
2024-02-24,10239,Casa,Air Fryer,Sudeste,Loja Física,2,459.0,918.0
2024-02-24,10240,Eletrônicos,Smartphone,Norte,Site,2,1709.1,3418.2
2024-02-24,10241,Casa,Aspirador Robô,Sul,Site,3,1234.05,3702.15
2024-02-25,10242,Esporte,Esteira,Sudeste,Loja Física,1,2659.05,2659.05
2024-02-25,10243,Informática,Mouse Gamer,Sudeste,Site,1,143.1,143.1
2024-02-25,10244,Esporte,Bicicleta,Sul,Loja Física,3,1599.0,4797.0
2024-02-26,10245,Eletrônicos,Smartwatch,Sudeste,Loja Física,1,899.0,899.0
2024-02-26,10246,Informática,Mouse Gamer,Nordeste,Loja Física,1,143.1,143.1
2024-02-26,10247,Eletrônicos,Smartwatch,Sudeste,App,2,809.1,1618.2
2024-02-27,10248,Esporte,Halteres 10kg,Sudeste,Site,2,189.0,378.0
2024-02-27,10249,Casa,Liquidificador,Nordeste,Site,3,179.1,537.3
2024-02-27,10250,Casa,Cafeteira,Norte,Site,1,289.0,289.0
2024-02-27,10251,Informática,"Monitor 24""",Sudeste,Site,2,849.15,1698.3
2024-02-27,10252,Esporte,Halteres 10kg,Sudeste,App,1,189.0,189.0
2024-02-27,10253,Informática,SSD 1TB,Sudeste,Loja Física,1,407.55,407.55
2024-02-27,10254,Casa,Liquidificador,Norte,Site,2,179.1,358.2
2024-02-28,10255,Moda,Relógio,Sul,Site,3,312.55,937.65
2024-02-28,10256,Informática,"Monitor 24""",Nordeste,Site,1,949.05,949.05
2024-02-29,10257,Esporte,Bicicleta,Sul,Site,2,1599.0,3198.0
2024-02-29,10258,Casa,Cafeteira,Sul,Site,3,289.0,867.0
2024-02-29,10259,Esporte,Bicicleta,Nordeste,Site,3,1599.0,4797.0
2024-02-29,10260,Casa,Aspirador Robô,Centro-Oeste,App,3,1299.0,3897.0
2024-03-01,10261,Casa,Aspirador Robô,Sudeste,App,1,1234.05,1234.05
2024-03-01,10262,Esporte,Tapete Yoga,Sudeste,Site,3,84.15,252.45
2024-03-01,10263,Moda,Relógio,Sul,Site,2,312.55,625.1
2024-03-01,10264,Casa,Aspirador Robô,Sudeste,App,3,1299.0,3897.0
2024-03-02,10265,Informática,Mouse Gamer,Centro-Oeste,App,2,159.0,318.0
2024-03-02,10266,Informática,Mouse Gamer,Sudeste,App,3,159.0,477.0
2024-03-02,10267,Esporte,Bicicleta,Sudeste,App,2,1599.0,3198.0
2024-03-02,10268,Informática,SSD 1TB,Sul,App,3,429.0,1287.0
2024-03-02,10269,Casa,Aspirador Robô,Centro-Oeste,Site,1,1299.0,1299.0
2024-03-03,10270,Esporte,Esteira,Sudeste,Site,1,2659.05,2659.05
2024-03-03,10271,Informática,Mouse Gamer,Sudeste,Site,1,159.0,159.0
2024-03-03,10272,Casa,Aspirador Robô,Sul,App,3,1169.1,3507.3
2024-03-04,10273,Moda,Tênis Esportivo,Sudeste,App,2,399.0,798.0
2024-03-04,10274,Casa,Liquidificador,Sudeste,Site,2,179.1,358.2
2024-03-04,10275,Eletrônicos,Smartwatch,Centro-Oeste,Loja Física,1,764.15,764.15
2024-03-04,10276,Esporte,Bicicleta,Sudeste,App,1,1599.0,1599.0
2024-03-04,10277,Moda,Relógio,Sudeste,Site,2,329.0,658.0
2024-03-04,10278,Informática,Mouse Gamer,Norte,Site,1,159.0,159.0
2024-03-04,10279,Eletrônicos,Smartwatch,Sudeste,Loja Física,1,899.0,899.0
2024-03-05,10280,Moda,Relógio,Sudeste,Site,1,279.65,279.65
2024-03-05,10281,Esporte,Halteres 10kg,Nordeste,Site,3,179.55,538.65
2024-03-05,10282,Informática,"Monitor 24""",Sudeste,App,3,999.0,2997.0
2024-03-05,10283,Informática,SSD 1TB,Sul,Loja Física,3,429.0,1287.0
2024-03-05,10284,Eletrônicos,Smartwatch,Nordeste,Site,1,899.0,899.0
2024-03-06,10285,Casa,Cafeteira,Nordeste,Loja Física,3,274.55,823.65
2024-03-06,10286,Esporte,Bicicleta,Norte,Site,2,1599.0,3198.0
2024-03-07,10287,Eletrônicos,Smartphone,Nordeste,Loja Física,2,1899.0,3798.0
2024-03-07,10288,Casa,Aspirador Robô,Sudeste,Site,3,1299.0,3897.0
2024-03-07,10289,Informática,Mouse Gamer,Sudeste,Loja Física,1,159.0,159.0
2024-03-07,10290,Esporte,Esteira,Sudeste,App,2,2799.0,5598.0
2024-03-08,10291,Esporte,Tapete Yoga,Nordeste,Site,2,94.05,188.1
2024-03-08,10292,Informática,Mouse Gamer,Nordeste,Site,3,143.1,429.3
2024-03-08,10293,Eletrônicos,Smartwatch,Centro-Oeste,App,1,854.05,854.05
2024-03-08,10294,Casa,Aspirador Robô,Sudeste,App,1,1299.0,1299.0
2024-03-08,10295,Moda,Mochila,Nordeste,Loja Física,2,179.0,358.0
2024-03-08,10296,Casa,Liquidificador,Nordeste,App,1,189.05,189.05
2024-03-09,10297,Eletrônicos,Smartwatch,Centro-Oeste,Site,1,899.0,899.0
2024-03-09,10298,Eletrônicos,Fone Bluetooth,Norte,Loja Física,3,249.0,747.0
2024-03-09,10299,Moda,Jaqueta,Nordeste,App,1,259.0,259.0
2024-03-09,10300,Moda,Relógio,Sudeste,App,3,329.0,987.0
2024-03-09,10301,Informática,"Monitor 24""",Sudeste,Loja Física,2,999.0,1998.0
2024-03-09,10302,Casa,Liquidificador,Norte,Site,1,199.0,199.0
2024-03-09,10303,Informática,"Monitor 24""",Nordeste,Loja Física,2,899.1,1798.2
2024-03-09,10304,Informática,Teclado Mecânico,Nordeste,Site,1,349.0,349.0
2024-03-10,10305,Informática,SSD 1TB,Nordeste,App,2,407.55,815.1
2024-03-11,10306,Moda,Relógio,Norte,Loja Física,2,329.0,658.0
2024-03-11,10307,Moda,Relógio,Sudeste,Site,3,329.0,987.0
2024-03-11,10308,Informática,Mouse Gamer,Norte,Site,1,159.0,159.0
2024-03-11,10309,Eletrônicos,Smartphone,Nordeste,App,2,1899.0,3798.0
2024-03-11,10310,Esporte,Halteres 10kg,Sul,App,3,179.55,538.65
2024-03-11,10311,Casa,Cafeteira,Sudeste,App,3,289.0,867.0
2024-03-12,10312,Informática,SSD 1TB,Nordeste,Loja Física,3,429.0,1287.0
2024-03-12,10313,Esporte,Bicicleta,Sudeste,App,3,1599.0,4797.0
2024-03-13,10314,Moda,Jaqueta,Sudeste,App,2,246.05,492.1
2024-03-13,10315,Moda,Mochila,Sul,Site,2,179.0,358.0
2024-03-13,10316,Moda,Jaqueta,Sul,App,1,259.0,259.0
2024-03-13,10317,Moda,Tênis Esportivo,Nordeste,App,3,399.0,1197.0
2024-03-13,10318,Esporte,Esteira,Norte,App,2,2659.05,5318.1
2024-03-14,10319,Casa,Aspirador Robô,Sul,App,3,1169.1,3507.3
2024-03-14,10320,Casa,Liquidificador,Sudeste,Site,3,199.0,597.0
2024-03-14,10321,Eletrônicos,Smartphone,Nordeste,App,2,1899.0,3798.0
2024-03-15,10322,Eletrônicos,Smartphone,Nordeste,Site,3,1899.0,5697.0
2024-03-15,10323,Informática,"Monitor 24""",Sudeste,Loja Física,1,949.05,949.05
2024-03-16,10324,Casa,Aspirador Robô,Norte,Loja Física,1,1299.0,1299.0
2024-03-16,10325,Eletrônicos,Fone Bluetooth,Norte,Site,2,224.1,448.2
2024-03-16,10326,Moda,Jaqueta,Sudeste,Site,2,233.1,466.2
2024-03-16,10327,Informática,SSD 1TB,Nordeste,Site,2,386.1,772.2
2024-03-16,10328,Esporte,Bicicleta,Sul,App,1,1599.0,1599.0
